Origin,OriginCityName,flights,delayed,weather,nas,late_ac,lat,lon
ORD,"Chicago, IL",335041,0.2824366235974566,7.246968540659713,16.272015178495717,30.55633638599169,41.9786,-87.9048
DEN,"Denver, CO",315281,0.2502624596766497,3.0031271451452977,12.965372587903287,31.313617064551394,39.860027,-104.673792
ATL,"Atlanta, GA",310214,0.2392413164478405,4.49254215304799,14.562243298746218,19.355828469520105,33.6367,-84.428101
DFW,"Dallas/Fort Worth, TX",303739,0.28882224519521354,6.671286607888207,10.927727652177891,33.49423079122211,32.896801,-97.038002
PHX,"Phoenix, AZ",195817,0.20611038847977714,1.7658020274299344,9.965116279069768,27.211960842774797,33.435302,-112.005905
LAX,"Los Angeles, CA",188179,0.18904684992990367,1.7505427886648808,15.021683349781474,25.75048639503736,33.942501,-118.407997
CLT,"Charlotte, NC",183515,0.24769068572021655,5.934256665858015,11.871049555609465,32.835917341155195,35.2140007019043,-80.94309997558594
LAS,"Las Vegas, NV",178405,0.21262830097469393,1.5658920876622517,12.483305575382664,26.365136013958285,36.083361,-115.151817
SEA,"Seattle, WA",163738,0.221153315890416,2.417433226199712,12.470990801285604,17.067632716391444,47.447943,-122.310276
MCO,"Orlando, FL",159313,0.2628949024543738,5.4305309522669605,18.573083736295303,29.47833580696127,28.429399490356445,-81.30899810791016
SFO,"San Francisco, CA",144094,0.19878050478192474,2.2719027943133274,16.059843126269346,27.84855382029554,37.619806,-122.374821
BOS,"Boston, MA",138670,0.24886108901583628,2.0019758826093272,19.73587098648845,30.262850501234926,42.36197,-71.0079
DCA,"Washington, DC",137004,0.2744775201966983,4.242235196886081,15.190327654696206,38.716654669545974,38.8521,-77.037697
LGA,"New York, NY",130352,0.27416660893927847,3.305979786636721,22.76614261650758,32.72602470522178,40.777199,-73.872597
DTW,"Detroit, MI",121619,0.2331671131259015,6.123899749019054,17.37700166142317,14.310509385273427,42.21377,-83.353786
IAH,"Houston, TX",117227,0.2237069481752699,6.9316252390057365,17.67697896749522,29.32282982791587,29.9844,-95.3414
SLC,"Salt Lake City, UT",116345,0.15503835876217567,3.2708773490492606,13.483487156677416,17.636328255309685,40.78886,-111.979866
EWR,"Newark, NJ",115839,0.2533343719436727,3.9722241202596513,22.802664844550733,34.28804236419542,40.6894,-74.170545
MSP,"Minneapolis, MN",111325,0.21477277845336215,5.924506144361028,16.569013966363293,13.559912762655706,44.880081,-93.221741
MIA,"Miami, FL",109593,0.2682185307961393,4.149709798566064,16.395049504950496,29.64059405940594,25.796011,-80.289751
BNA,"Nashville, TN",105551,0.22886451061404758,2.897202855245684,14.204307768924302,30.941027556440904,36.1245,-86.6782
JFK,"New York, NY",100580,0.25466600199401795,2.524057471714364,21.552675879888813,26.47183181302118,40.639447,-73.779317
SAN,"San Diego, CA",96914,0.2171887616720843,2.8475691134413728,13.567540514775978,29.597759771210676,32.733601,-117.190002
PHL,"Philadelphia, PA",95589,0.26320925986168975,3.984411131488717,17.40295829678654,35.74946176540946,39.871899,-75.241096
BWI,"Baltimore, MD",94134,0.22952704356990025,3.9485205454039516,14.361376495686857,26.44235228642983,39.1754,-76.668297
FLL,"Fort Lauderdale, FL",88372,0.274220275116902,3.3447704979098547,19.98336161582716,28.36136749306734,26.072599,-80.152702
AUS,"Austin, TX",87438,0.23258240183433648,3.6525361068664663,14.678710504263814,31.599398629664318,30.197535,-97.662015
TPA,"Tampa, FL",77662,0.22667527437056165,3.0935292777398042,17.568409660514924,33.894395078605605,27.9755,-82.533203
MDW,"Chicago, IL",72873,0.2358663199460657,2.0503412471562736,12.147173773551888,25.189931750568746,41.785999,-87.752403
DAL,"Dallas, TX",69797,0.2521218387833355,2.4191159717475506,10.459785828206881,28.30354294827979,32.844776,-96.847653
STL,"St. Louis, MO",63428,0.21659263006465687,2.9535800306546967,14.054156630902854,30.472739216115613,38.748697,-90.370003
PDX,"Portland, OR",61382,0.1768049656974845,1.3859940872135994,14.32779009608278,21.371119733924612,45.588699,-122.598
HNL,"Honolulu, HI",57736,0.16068393854264212,1.726635009712929,3.6247571767753075,17.75696093244118,21.318387,-157.92567
IAD,"Washington, DC",57636,0.2096482377091959,7.39648161978259,21.037507260808233,25.765081735955523,38.9445,-77.455803
SMF,"Sacramento, CA",57283,0.17558534280614566,1.819912298186167,10.889874426948376,26.641219852501496,38.6954,-121.591003
HOU,"Houston, TX",54516,0.2209375,3.0173891338713705,10.33214077710292,25.597387469839422,29.645336,-95.276812
RDU,"Raleigh/Durham, NC",54234,0.21586163568498468,2.9471837014209896,22.041944872453346,34.77700736175312,35.878659,-78.7873
MSY,"New Orleans, LA",49354,0.21422330590267194,3.625818078345822,16.45973631793607,33.827089063833824,29.993401,-90.264673
MCI,"Kansas City, MO",47872,0.20838308301388803,3.675211097708082,16.56222356252513,31.495677523120225,39.301699,-94.713893
IND,"Indianapolis, IN",46906,0.20367243111519634,4.564231738035264,22.696158690176322,27.53379513014274,39.7173,-86.294403
