carrier_name,ym,flights,cancelled
Alaska Airlines,2025-04,19025,0.004204993429697766
Alaska Airlines,2025-05,21751,0.005562962622408165
Alaska Airlines,2025-06,22576,0.0077072997873848335
Alaska Airlines,2025-07,23619,0.02167746305940133
Alaska Airlines,2025-08,22976,0.010750348189415043
Alaska Airlines,2025-09,20747,0.006362365643225527
Alaska Airlines,2025-10,20637,0.020594078596695257
Alaska Airlines,2025-11,19752,0.013061968408262455
Alaska Airlines,2025-12,21102,0.014548384039427542
Alaska Airlines,2026-01,26436,0.020161900438795583
Alaska Airlines,2026-02,24013,0.01182692708116437
Alaska Airlines,2026-03,27793,0.018673766775806858
Allegiant Air,2025-04,10926,0.0009152480322167307
Allegiant Air,2025-05,11079,0.001534434515750519
Allegiant Air,2025-06,13783,0.00413552927519408
Allegiant Air,2025-07,13978,0.004435541565316926
Allegiant Air,2025-08,10499,0.0006667301647775979
Allegiant Air,2025-09,6925,0.0001444043321299639
Allegiant Air,2025-10,10470,0.0004775549188156638
Allegiant Air,2025-11,9652,0.008081226688769167
Allegiant Air,2025-12,11516,0.00798888502952414
Allegiant Air,2026-01,8963,0.02432221354457213
Allegiant Air,2026-02,9087,0.006822933861560471
Allegiant Air,2026-03,12522,0.015892030027152212
American Airlines,2025-04,82261,0.014320273276522289
American Airlines,2025-05,86123,0.015199191853511838
American Airlines,2025-06,85419,0.024537866282677154
American Airlines,2025-07,87852,0.03368164640531803
American Airlines,2025-08,83024,0.019307670071304683
American Airlines,2025-09,77306,0.01206892091170155
American Airlines,2025-10,85483,0.006504217212779149
American Airlines,2025-11,78826,0.021185903128409407
American Airlines,2025-12,79859,0.00492117356841433
American Airlines,2026-01,76772,0.08927734069712916
American Airlines,2026-02,72786,0.02144643200615503
American Airlines,2026-03,84647,0.020390563162309354
Delta Air Lines,2025-04,84188,0.005107616287356868
Delta Air Lines,2025-05,89931,0.0021683290522734096
Delta Air Lines,2025-06,91122,0.017240622462193544
Delta Air Lines,2025-07,94066,0.014032700444368848
Delta Air Lines,2025-08,90313,0.007606878301019786
Delta Air Lines,2025-09,84875,0.0010014727540500737
Delta Air Lines,2025-10,90097,0.0036516199207520784
Delta Air Lines,2025-11,84475,0.017034625628884286
Delta Air Lines,2025-12,85139,0.027496212076721597
Delta Air Lines,2026-01,79198,0.03940756079698982
Delta Air Lines,2026-02,74200,0.020902964959568733
Delta Air Lines,2026-03,86890,0.035585222695361955
Frontier Airlines,2025-04,17451,0.012033694344163659
Frontier Airlines,2025-05,16036,0.010414068346221004
Frontier Airlines,2025-06,16058,0.030825756632208243
Frontier Airlines,2025-07,16409,0.028581875799865927
Frontier Airlines,2025-08,16697,0.01611067856501168
Frontier Airlines,2025-09,14896,0.0034237379162191193
Frontier Airlines,2025-10,16935,0.004664895187481547
Frontier Airlines,2025-11,17047,0.019944858332844487
Frontier Airlines,2025-12,16724,0.027744558718010046
Frontier Airlines,2026-01,15382,0.035561045377714214
Frontier Airlines,2026-02,15056,0.014213602550478214
Frontier Airlines,2026-03,20119,0.03200954321785377
Hawaiian Airlines,2025-04,6559,0.009300198200945266
Hawaiian Airlines,2025-05,6985,0.00329277022190408
Hawaiian Airlines,2025-06,6839,0.0019008626992250328
Hawaiian Airlines,2025-07,7066,0.0072176620435890175
Hawaiian Airlines,2025-08,6946,0.0024474517708033402
Hawaiian Airlines,2025-09,6428,0.0017112632233976354
Hawaiian Airlines,2025-10,6616,0.006801692865779928
Hawaiian Airlines,2025-11,6426,0.019452225334578275
Hawaiian Airlines,2025-12,6705,0.00686055182699478
JetBlue Airways,2025-04,20002,0.0020997900209979003
JetBlue Airways,2025-05,19663,0.004882266185220974
JetBlue Airways,2025-06,18953,0.006384213580963436
JetBlue Airways,2025-07,20690,0.05041082648622523
JetBlue Airways,2025-08,20204,0.006483864581271035
JetBlue Airways,2025-09,16215,0.005797101449275362
JetBlue Airways,2025-10,18401,0.010488560404325852
JetBlue Airways,2025-11,19818,0.029619537793924716
JetBlue Airways,2025-12,20560,0.02782101167315175
JetBlue Airways,2026-01,18109,0.06632061405930753
JetBlue Airways,2026-02,17871,0.0770522074869901
JetBlue Airways,2026-03,21340,0.020243673851921273
Southwest Airlines,2025-04,117622,0.004973559368145415
Southwest Airlines,2025-05,119819,0.005224547025096187
Southwest Airlines,2025-06,122348,0.006179095694249191
Southwest Airlines,2025-07,125677,0.012770833167564472
Southwest Airlines,2025-08,114519,0.003798496319388049
Southwest Airlines,2025-09,110361,0.002401210572575457
Southwest Airlines,2025-10,121588,0.0025331447182287727
Southwest Airlines,2025-11,113938,0.017290105144903367
Southwest Airlines,2025-12,118075,0.005538852424306585
Southwest Airlines,2026-01,104002,0.026249495202015347
Southwest Airlines,2026-02,100783,0.010100909875673476
