carrier_name,carrier_class,ym,flights,delayed,avg_delay,cancelled_n
Alaska Airlines,Legacy,2025-04,18945,0.18867325894981757,10.4167415789752,18945
Alaska Airlines,Legacy,2025-05,21630,0.25175925925925924,14.12837962962963,21630
Alaska Airlines,Legacy,2025-06,22402,0.3030018342056995,16.7293428175189,22402
Alaska Airlines,Legacy,2025-07,23107,0.3064053537284895,18.008908395619677,23107
Alaska Airlines,Legacy,2025-08,22729,0.27179374173644777,14.821463199647422,22729
Alaska Airlines,Legacy,2025-09,20615,0.16380609714591335,9.051976467156123,20615
Alaska Airlines,Legacy,2025-10,20212,0.1991367763059979,12.318747829538125,20212
Alaska Airlines,Legacy,2025-11,19494,0.18808567603748327,10.492173823499124,19494
Alaska Airlines,Legacy,2025-12,20795,0.28035757429330754,16.24923894660546,20795
Alaska Airlines,Legacy,2026-01,25903,0.21043451296561883,12.915926973913718,25903
Alaska Airlines,Legacy,2026-02,23729,0.1713404848382465,9.593420052369288,23729
Alaska Airlines,Legacy,2026-03,27274,0.2187039764359352,13.96881443298969,27274
Allegiant Air,Ultra-low-cost,2025-04,10916,0.20846337433449605,16.716724802643657,10916
Allegiant Air,Ultra-low-cost,2025-05,11062,0.2384963768115942,21.219927536231886,11062
Allegiant Air,Ultra-low-cost,2025-06,13726,0.3058642878034513,26.47835624451594,13726
Allegiant Air,Ultra-low-cost,2025-07,13916,0.30104655359076143,28.564922410682065,13916
Allegiant Air,Ultra-low-cost,2025-08,10492,0.24022559984705094,24.937864448905458,10492
Allegiant Air,Ultra-low-cost,2025-09,6924,0.17023430720277696,14.061035579982644,6924
Allegiant Air,Ultra-low-cost,2025-10,10465,0.22111515616018396,17.84604330331481,10465
Allegiant Air,Ultra-low-cost,2025-11,9574,0.23018867924528302,18.984905660377358,9574
Allegiant Air,Ultra-low-cost,2025-12,11424,0.3097959901512487,26.24094266619768,11424
Allegiant Air,Ultra-low-cost,2026-01,8745,0.24047728315741165,21.74047728315741,8745
Allegiant Air,Ultra-low-cost,2026-02,9025,0.22011111111111112,20.03077777777778,9025
Allegiant Air,Ultra-low-cost,2026-03,12323,0.27695818730132854,27.634852066183065,12323
American Airlines,Legacy,2025-04,81083,0.24445626229021605,19.954203099298763,81083
American Airlines,Legacy,2025-05,84814,0.26507763681121,22.315210187464494,84814
American Airlines,Legacy,2025-06,83323,0.3279346372148512,30.097694708554766,83323
American Airlines,Legacy,2025-07,84893,0.3498068216833772,34.02652350138662,84893
American Airlines,Legacy,2025-08,81421,0.3053816808029927,27.859254046446164,81421
American Airlines,Legacy,2025-09,76373,0.20942697249152675,18.58760936391582,76373
American Airlines,Legacy,2025-10,84927,0.23218499292118924,19.205073147711186,84927
American Airlines,Legacy,2025-11,77156,0.23466233766233766,19.766675324675326,77156
American Airlines,Legacy,2025-12,79466,0.26390972703776083,21.59214524364874,79466
American Airlines,Legacy,2026-01,69918,0.2397046171494121,23.57781760825925,69918
American Airlines,Legacy,2026-02,71225,0.2113054613511954,17.318829770766783,71225
American Airlines,Legacy,2026-03,82921,0.2532162325863113,23.10167171411266,82921
Delta Air Lines,Legacy,2025-04,83758,0.1777046433700335,13.080923887027286,83758
Delta Air Lines,Legacy,2025-05,89736,0.22011355507868383,16.49956410944206,89736
Delta Air Lines,Legacy,2025-06,89551,0.26170153104144467,21.242476585721498,89551
