ym,CarrierDelay,LateAircraftDelay,NASDelay,WeatherDelay,SecurityDelay
2025-04,2563581.0,3085757.0,1743517.0,433723.0,14791.0
2025-05,2990564.0,3861591.0,2647632.0,708753.0,11326.0
2025-06,4095591.0,5264576.0,2707009.0,893051.0,20281.0
2025-07,4477900.0,5880680.0,2985238.0,1057529.0,15270.0
2025-08,3254359.0,3976871.0,1887363.0,686052.0,13933.0
2025-09,2135289.0,2327776.0,1406555.0,345837.0,9019.0
2025-10,2663106.0,3113593.0,1795377.0,259915.0,9307.0
2025-11,2531763.0,3208342.0,2234907.0,384899.0,11174.0
2025-12,3827986.0,4716435.0,2194699.0,730591.0,17744.0
2026-01,3031178.0,2842019.0,1465808.0,776908.0,11479.0
2026-02,2626573.0,2555393.0,1272148.0,410772.0,11118.0
2026-03,3778312.0,4424822.0,2363007.0,669429.0,26292.0
