route,carrier_name,window,flights,exp_delay,delayed
ATL-LGA,Delta Air Lines,morning,1894,7.172048703017469,0.12811011116993118
ATL-LGA,Delta Air Lines,afternoon,1344,21.92059925093633,0.2973782771535581
ATL-LGA,Delta Air Lines,evening,1559,29.189032258064515,0.38
ATL-LGA,Frontier Airlines,morning,219,21.735159817351597,0.2557077625570776
ATL-LGA,Frontier Airlines,evening,353,67.62571428571428,0.58
ATL-LGA,Republic Airways,morning,486,13.981481481481481,0.16255144032921812
ATL-LGA,Republic Airways,afternoon,373,25.723860589812332,0.29222520107238603
ATL-LGA,Southwest Airlines,morning,482,7.050104384133611,0.12317327766179541
ATL-LGA,Southwest Airlines,afternoon,435,24.78787878787879,0.3706293706293706
ATL-LGA,Southwest Airlines,evening,338,42.04451038575667,0.5014836795252225
ATL-MCO,Delta Air Lines,morning,1761,11.371590909090909,0.1846590909090909
ATL-MCO,Delta Air Lines,afternoon,1465,24.54852030282175,0.35650378527185134
ATL-MCO,Delta Air Lines,evening,2105,30.369856459330144,0.42822966507177035
ATL-MCO,Frontier Airlines,morning,426,30.92488262910798,0.23708920187793428
ATL-MCO,Frontier Airlines,afternoon,258,46.18287937743191,0.4046692607003891
ATL-MCO,Frontier Airlines,evening,397,54.21518987341772,0.49873417721518987
ATL-MCO,Southwest Airlines,morning,500,7.3346693386773545,0.13827655310621242
ATL-MCO,Southwest Airlines,afternoon,252,15.964285714285714,0.23015873015873015
ATL-MCO,Southwest Airlines,evening,332,33.34848484848485,0.4575757575757576
ATL-MCO,Spirit Airlines,morning,309,24.071197411003237,0.2297734627831715
BOS-DCA,American Airlines,morning,1322,16.579984836997724,0.14329037149355572
BOS-DCA,American Airlines,afternoon,217,33.225806451612904,0.391705069124424
BOS-DCA,American Airlines,evening,589,39.80204778156997,0.43686006825938567
BOS-DCA,JetBlue Airways,morning,1238,10.329554655870446,0.14817813765182186
BOS-DCA,JetBlue Airways,afternoon,876,29.66398158803222,0.3947065592635213
BOS-DCA,JetBlue Airways,evening,447,41.52584269662921,0.5235955056179775
BOS-DCA,Republic Airways,morning,1547,7.566709844559585,0.12629533678756477
BOS-DCA,Republic Airways,afternoon,1252,18.487179487179485,0.2980769230769231
BOS-DCA,Republic Airways,evening,1108,29.630099728014507,0.4125113327289211
DCA-BOS,American Airlines,morning,786,17.805095541401275,0.1910828025477707
DCA-BOS,American Airlines,afternoon,496,32.703629032258064,0.38306451612903225
DCA-BOS,American Airlines,evening,852,37.03521126760563,0.4612676056338028
DCA-BOS,JetBlue Airways,morning,924,12.123376623376624,0.1590909090909091
DCA-BOS,JetBlue Airways,afternoon,827,37.49334945586457,0.4437726723095526
DCA-BOS,JetBlue Airways,evening,807,45.1449814126394,0.4448574969021066
DCA-BOS,Republic Airways,morning,1750,7.717552887364208,0.10806174957118353
DCA-BOS,Republic Airways,afternoon,1261,23.554761904761904,0.3055555555555556
DCA-BOS,Republic Airways,evening,891,24.389450056116722,0.345679012345679
