Origin,dep_hour,flights,delayed
ATL,5,1784,0.1530669667979741
ATL,6,5070,0.11124283738391622
ATL,7,14426,0.12722098833981121
ATL,8,24383,0.12369524122626778
ATL,9,24102,0.17614747617660523
ATL,10,16778,0.17068800764452938
ATL,11,21093,0.1774768353528154
ATL,12,17021,0.1976894966403395
ATL,13,15664,0.20589554629926304
ATL,14,16239,0.24351691775747097
ATL,15,22822,0.2814945054945055
ATL,16,19461,0.29826100417978224
ATL,17,16186,0.31491233504739485
ATL,18,14637,0.3213894217593861
ATL,19,20352,0.33328403825298236
ATL,20,15928,0.33931381806735916
ATL,21,19718,0.29232958877649573
ATL,22,20992,0.28418038654259126
ATL,23,3558,0.3344613649182177
BOS,5,4700,0.08010225820195994
BOS,6,10769,0.10701656430299647
BOS,7,13851,0.14979727772951057
BOS,8,11215,0.15979980337831798
BOS,9,9627,0.15480649188514356
BOS,10,7784,0.17784932388924662
BOS,11,8116,0.19886363636363635
BOS,12,7046,0.22887624466571835
BOS,13,6714,0.23590970249663626
BOS,14,6653,0.27180955250866357
BOS,15,9186,0.32913885545464494
BOS,16,8499,0.37899705014749263
BOS,17,9042,0.3642920550377275
BOS,18,8743,0.37194351968775113
BOS,19,7422,0.4115026326447955
BOS,20,7091,0.41188118811881186
BOS,21,2046,0.3975490196078431
BOS,22,160,0.29375
BOS,23,6,0.16666666666666666
CLT,5,1240,0.08239095315024232
CLT,6,2877,0.07732497387669801
CLT,7,10633,0.1342819449679608
CLT,8,10064,0.13072481083233772
CLT,9,12318,0.14484385165907612
CLT,10,7953,0.1415438861604332
CLT,11,15955,0.18071002199183162
CLT,12,6235,0.17118997912317327
CLT,13,11447,0.22397476340694006
CLT,14,12195,0.2631578947368421
CLT,15,9473,0.28032630575272804
CLT,16,13287,0.3246792452830189
CLT,17,10050,0.30875162159465125
CLT,18,13125,0.3578794591704224
CLT,19,8672,0.2895284327323162
CLT,20,14167,0.36391307425497277
CLT,21,8778,0.274211968935587
CLT,22,13674,0.3282521069989007
CLT,23,1372,0.31112737920937045
DEN,5,3498,0.06813627254509018
DEN,6,8452,0.08720379146919431
DEN,7,17074,0.12598378949841418
DEN,8,17403,0.12128898368593993
DEN,9,23281,0.1690875393302013
DEN,10,20468,0.18908324758684894
DEN,11,30857,0.1993559718969555
DEN,12,11695,0.2138812628689087
DEN,13,30088,0.20993664554851618
DEN,14,11215,0.2851646385110952
DEN,15,16235,0.2705976883614562
DEN,16,15235,0.3141464699683878
DEN,17,31636,0.3586615545486232
DEN,18,10725,0.3905242500700869
DEN,19,26785,0.36169973792587046
DEN,20,19371,0.34012336080443684
DEN,21,11142,0.34880791722896987
DEN,22,4349,0.3896432681242808
DEN,23,4580,0.19060109289617486
DFW,5,3755,0.11443051480394772
DFW,6,4823,0.15205650186954717
DFW,7,20755,0.16238408037094282
DFW,8,30164,0.17549107587994814
DFW,9,10854,0.23039985224859175
DFW,10,24278,0.210841878928217
DFW,11,13051,0.2717700407347629
DFW,12,24241,0.23546957206180869
DFW,13,13387,0.3080152957936567
DFW,14,20572,0.30950752393980846
DFW,15,14333,0.3661952107547963
DFW,16,20696,0.3313950671124679
DFW,17,16204,0.38534322820037104
DFW,18,18784,0.3933892241149143
DFW,19,22689,0.3767135402847793
DFW,20,13848,0.3950188242108312
DFW,21,21233,0.3198525937824813
DFW,22,9730,0.3946798639034952
DFW,23,342,0.4298245614035088
LAS,5,3119,0.052123552123552123
LAS,6,12269,0.06551752307817989
LAS,7,13264,0.1094730475542451
LAS,8,12740,0.1420244190626231
LAS,9,13042,0.15352633199876808
LAS,10,11554,0.18253001566034452
LAS,11,10460,0.19579815809669993
LAS,12,10738,0.23978303563078648
LAS,13,9761,0.23733689509914724
LAS,14,9615,0.27790527853119135
LAS,15,10008,0.28330995792426367
LAS,16,8449,0.29266555898409685
LAS,17,10267,0.2903194295203673
LAS,18,8684,0.3115056490661748
LAS,19,8174,0.30553514572618173
LAS,20,5116,0.3125734430082256
LAS,21,5834,0.29777015437392795
LAS,22,5881,0.25914582269865577
LAS,23,6612,0.17148916830783215
LAX,5,3739,0.06030554811042616
LAX,6,9293,0.09183122909247869
LAX,7,11793,0.11757193938361996
LAX,8,16985,0.15355960264900662
LAX,9,16387,0.15768194070080863
LAX,10,12722,0.21447191721305
LAX,11,11070,0.2008880028996013
LAX,12,8339,0.24046814671814673
LAX,13,11781,0.2293156281920327
LAX,14,9068,0.24355142256171813
LAX,15,8064,0.23698272648191873
LAX,16,9584,0.19644165358451074
LAX,17,8020,0.19682777569626578
