dep_hour,late_ac,total,avg_dep
5,228816.0,1844105.0,9.15705350219695
6,573203.0,4615969.0,8.95280820124809
7,736770.0,5231922.0,9.273787997143021
8,1145240.0,5307231.0,10.237401131595492
9,1292045.0,4585725.0,11.273434432540755
10,1907964.0,5614169.0,12.931347444167125
11,2225008.0,6226017.0,14.511021614889481
12,2503065.0,6759871.0,16.41829810050878
13,2792446.0,7245056.0,17.477959903350094
14,3051225.0,8069814.0,20.083787502051017
15,3349993.0,8658474.0,21.32985116230014
16,3688794.0,9280126.0,22.74282512904444
17,4562782.0,11034115.0,24.84315625453131
18,4649355.0,10471445.0,25.932675578709393
19,4700688.0,9895245.0,27.18000605490846
20,3573838.0,7502720.0,26.64792412883983
21,2429669.0,5451387.0,25.235709518375785
22,1451616.0,3466689.0,24.73035841443152
23,304747.0,846866.0,16.73671475938704
