route,flights,delayed,severity,cancelled,cascade,distance,z_delayed,z_severity,z_cancelled,z_cascade,score,origin,dest,origin_lat,origin_lon,dest_lat,dest_lon
ABI-DFW,1746,0.18529411764705883,13.125882352941176,0.025200458190148912,25.276190476190475,158.0,-0.7288208649481421,-0.750623745809818,0.4811779383699223,-0.3237789998808109,-0.3305114180672122,ABI,DFW,32.4113006592,-99.6819000244,32.896801,-97.038002
ABQ-DAL,1671,0.14067278287461774,8.499082568807339,0.016756433273488927,28.339130434782607,580.0,-1.51706081020302,-1.506724049123373,-0.14961803948209784,-0.027493243060867523,-0.8002240354673397,ABQ,DAL,35.039976,-106.608925,32.844776,-96.847653
ABQ-DEN,3140,0.20515297906602253,14.484057971014492,0.008917197452229299,21.059654631083202,349.0,-0.3780122681740255,-0.5286740084773749,-0.735234315403749,-0.7316549396365034,-0.5933938829229132,ABQ,DEN,35.039976,-106.608925,39.860027,-104.673792
ABQ-DFW,2338,0.23411816970235452,22.086628165259885,0.033361847733105215,39.908918406072104,569.0,0.13366046411681964,0.7137194163566868,1.0908601394755912,1.0916809593924626,0.7574802448353901,ABQ,DFW,35.039976,-106.608925,32.896801,-97.038002
ABQ-LAS,1720,0.17269544924154026,11.017502917152859,0.0029069767441860465,34.0945945945946,486.0,-0.9513774904927401,-1.095169955992985,-1.1842172454702573,0.5292470383332776,-0.6753794134056762,ABQ,LAS,35.039976,-106.608925,36.083361,-115.151817
ABQ-LAX,2174,0.11873840445269017,10.612244897959183,0.004599816007359705,20.4375,677.0,-1.9045336039836824,-1.1613962302059617,-1.0577566761447108,-0.7918374956844673,-1.2288810015047056,ABQ,LAX,35.039976,-106.608925,33.942501,-118.407997
ABQ-ORD,1246,0.2037797863599014,17.495480690221857,0.014446227929373997,23.846774193548388,1118.0,-0.40226984247155256,-0.03655467381196207,-0.3221978522447015,-0.4620499718354907,-0.3057680850909267,ABQ,ORD,35.039976,-106.608925,41.9786,-87.9048
ABQ-PHX,3379,0.1706372840976772,14.100059559261465,0.005918910920390648,37.481675392670155,328.0,-0.9877351653269338,-0.5914260896445829,-0.9592160188447434,0.8568877401540829,-0.4203723834155443,ABQ,PHX,35.039976,-106.608925,33.435302,-112.005905
ABQ-SLC,1153,0.059895833333333336,6.183159722222222,0.0008673026886383347,0.0,493.0,-2.943992985338282,-1.8851864958362277,-1.336587495803144,-2.768807412453879,-2.233643597357883,ABQ,SLC,35.039976,-106.608925,40.78886,-111.979866
ACT-DFW,1074,0.2001953125,18.740234375,0.04655493482309125,27.82439024390244,90.0,-0.4655898998724633,0.1668599286177407,2.0764264249794486,-0.07728533467296476,0.4251027797629403,ACT,DFW,31.611299514770508,-97.23049926757812,32.896801,-97.038002
ACV-SFO,1264,0.2882447665056361,29.55877616747182,0.015031645569620253,19.1536312849162,250.0,1.089811729394567,1.934799565588576,-0.27846526068136124,-0.9160292914912963,0.45752918570262135,ACV,SFO,40.978101,-124.109,37.619806,-122.374821
AEX-DFW,1047,0.2023928215353938,17.648055832502493,0.04202483285577841,16.8128078817734,285.0,-0.4267707024954782,-0.011621217267744215,1.7380131530571337,-1.1424629281143235,0.03928957629489693,AEX,DFW,31.325828,-92.546702,32.896801,-97.038002
ALB-ATL,1045,0.18940137389597644,18.60745829244357,0.020095693779904306,34.23834196891192,853.0,-0.6562658090022561,0.1451619859840515,0.09983552291692208,0.5431520773370665,0.03297094430894601,ALB,ATL,42.748299,-73.801697,33.6367,-84.428101
ALB-BWI,1690,0.12012012012012012,9.512912912912913,0.014201183431952662,30.97,288.0,-1.8801254707979076,-1.3410463741750471,-0.340503468925578,0.22699727610140796,-0.8336695094492812,ALB,BWI,42.748299,-73.801697,39.1754,-76.668297
ALB-CLT,1133,0.19874100719424462,27.758093525179856,0.01676963812886143,46.25339366515837,646.0,-0.4912803356346069,1.6405364127551132,-0.1486315940678195,1.7053977410390126,0.6765055560229248,ALB,CLT,42.748299,-73.801697,35.2140007019043,-80.94309997558594
ALB-DCA,1189,0.36486486486486486,35.288288288288285,0.060555088309503784,49.358024691358025,318.0,2.4433127495702984,2.871102421667102,3.122283181171156,2.005716377930299,2.6106036825847143,ALB,DCA,42.748299,-73.801697,38.8521,-77.037697
ALB-DTW,1105,0.17447199265381083,21.858585858585858,0.013574660633484163,5.58421052631579,489.0,-0.9199946892123099,0.6764533004041823,-0.38730674878407045,-2.2286329185366482,-0.7148702640322115,ALB,DTW,42.748299,-73.801697,42.21377,-83.353786
ALB-MCO,1079,0.24834749763928235,14.971671388101983,0.010194624652455977,19.460076045627375,1073.0,0.3850228388915197,-0.44898941658647445,-0.6398063710460852,-0.8863861319523317,-0.3975397701733429,ALB,MCO,42.748299,-73.801697,28.429399490356445,-81.30899810791016
ALB-ORD,2036,0.2585858585858586,19.82070707070707,0.023575638506876228,19.630859375,723.0,0.5658844180707531,0.3434281336538846,0.3597986517075836,-0.8698658381563488,0.09981134131896816,ALB,ORD,42.748299,-73.801697,41.9786,-87.9048
AMA-DAL,1261,0.12560386473429952,9.347020933977456,0.012688342585249802,43.01282051282051,323.0,-1.7832546224354295,-1.3681560355916729,-0.4535175742425336,1.3919290861026181,-0.5532497865417545,AMA,DAL,35.217857,-101.706444,32.844776,-96.847653
