OriginState,flights,delayed,avg_dep_delay
AK,37578,0.1791686701928728,12.573633508968014
AL,28972,0.2080534589017381,19.950365870495652
AR,27474,0.21020177326960265,17.662298900778918
AZ,225938,0.20032575458342025,14.992019934672344
CA,740723,0.18894946248641156,14.175771509727658
CO,354466,0.2501761584718783,19.371920014895647
CT,22388,0.22247150677555416,16.694925853135608
FL,626411,0.24858038708272348,19.836220947588725
GA,331696,0.23734295836809713,16.87245851623173
HI,120629,0.15563175067039708,9.549900935927512
IA,25259,0.2227341329732306,21.536798764796707
ID,32629,0.15203024621153904,12.345367617763339
IL,424761,0.2730368012693675,20.970705879306244
IN,63216,0.2212774058444649,18.298152366489497
KS,16387,0.21500703837444152,20.329102337218526
KY,64568,0.2108712533002019,17.550257093296988
LA,65698,0.21531910997161433,18.814804103625683
MA,142433,0.24977470500436508,18.93991560944444
MD,94437,0.23037254756321424,17.84355708038163
ME,14437,0.22700410206493776,18.79601025143728
MI,160500,0.23709898015900277,19.052859813084112
MN,117564,0.21511117175972913,15.866498247762921
MO,123626,0.21609169296160805,16.965128694611167
MS,10479,0.17205432287681713,17.897318446416644
MT,29932,0.18301158301158302,15.988340237872512
NC,266739,0.23825397421924913,18.676893892531652
ND,18688,0.22796172866050313,21.44654323630137
NE,30326,0.19663404311598995,16.87825628173844
NH,6306,0.21553645335880292,16.53171582619727
NJ,119400,0.25147784905787124,19.983140703517588
NM,30797,0.17942038423966133,14.876773711725168
NV,199756,0.20840319261081272,15.22947495945053
NY,301292,0.2584154064366622,19.34154242396081
OH,96537,0.2139453275054766,17.495623439717413
OK,43693,0.19987605297587624,16.439727187421326
OR,81430,0.1726137706855792,11.659597200049122
PA,149352,0.2392831242781553,19.342446033531523
PR,37823,0.21729778533113814,19.09044761124184
RI,15102,0.2196773551085441,16.66395179446431
SC,59776,0.2110546016080031,18.848400695931478
SD,14467,0.23039555863983344,20.42061242828506
TN,148475,0.22642082869010233,18.546334399730593
TT,1243,0.07648953301127215,7.290426387771521
TX,737133,0.2484660490048025,19.381619056533896
UT,124488,0.15415417834928616,11.363440652914337
VA,235764,0.25078140614833744,19.9834325851275
VI,6833,0.21264880952380952,22.479584369969267
VT,6093,0.272667326079789,25.84375512883637
WA,192284,0.2094463458408114,12.87401967922448
WI,55887,0.22237172587011123,18.892050029523862
WV,4246,0.29404818138875766,34.73598681111635
WY,13885,0.22593049408691868,24.338494778537992
